epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,93.4846,0.91843,1.67099,1.39784,0.70426,0.66896,0.85545,0.61336,1.70156,1.3025,1.3981,2.2976e-05,2.2976e-05,2.2976e-05
28,96.7116,0.80106,1.24172,1.14049,0.70426,0.66896,0.85545,0.61336,1.70156,1.3025,1.3981,2.35417e-05,2.35417e-05,2.35417e-05
29,100.111,0.99737,1.52716,1.27177,0.70067,0.67247,0.85551,0.61082,1.67034,1.30971,1.37776,2.40837e-05,2.40837e-05,2.40837e-05
30,103.273,1.26562,2.34976,1.59811,0.70067,0.67247,0.85551,0.61082,1.67034,1.30971,1.37776,2.46022e-05,2.46022e-05,2.46022e-05
31,106.554,0.97959,1.43339,1.29407,0.69189,0.66667,0.85204,0.60885,1.68073,1.34645,1.38371,2.50971e-05,2.50971e-05,2.50971e-05
32,110.243,0.81021,1.26023,1.21403,0.69189,0.66667,0.85204,0.60885,1.68073,1.34645,1.38371,2.55685e-05,2.55685e-05,2.55685e-05
33,113.382,0.78165,1.31855,1.34265,0.67239,0.68914,0.85241,0.60751,1.66621,1.37782,1.37981,2.60163e-05,2.60163e-05,2.60163e-05
34,117.144,1.05737,1.25159,1.31046,0.67239,0.68914,0.85241,0.60751,1.66621,1.37782,1.37981,2.64405e-05,2.64405e-05,2.64405e-05
35,120.425,0.88716,2.1652,1.30328,0.66429,0.7,0.85262,0.59109,1.68122,1.41226,1.38795,2.68412e-05,2.68412e-05,2.68412e-05
36,123.964,0.96214,1.47733,1.2011,0.66429,0.7,0.85262,0.59109,1.68122,1.41226,1.38795,2.72183e-05,2.72183e-05,2.72183e-05
37,128.167,0.78396,1.11457,1.17303,0.64699,0.7,0.8524,0.5836,1.64944,1.44757,1.37014,2.75718e-05,2.75718e-05,2.75718e-05
