epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.20286,0.78367,1.52016,1.17461,0.57856,0.85,0.87867,0.63494,1.63,1.06771,1.37289,0,0,0
2,4.56428,0.86521,2.19116,1.21109,0.56773,0.85,0.87776,0.63475,1.64741,1.06056,1.37474,1.07219e-06,1.07219e-06,1.07219e-06
3,7.22716,1.14192,1.92037,1.51833,0.6011,0.85,0.84961,0.65011,1.64146,1.04659,1.37166,1.90876e-06,1.90876e-06,1.90876e-06
4,10.206,1.08904,1.62181,1.4127,0.61257,0.85,0.85071,0.65022,1.64532,1.04845,1.37226,2.50971e-06,2.50971e-06,2.50971e-06
5,13.6799,0.94855,2.07061,1.37615,0.61909,0.85,0.87377,0.65348,1.62574,1.04651,1.35956,2.87504e-06,2.87504e-06,2.87504e-06
6,16.9825,1.05895,1.56923,1.47316,0.63117,0.85,0.85215,0.65144,1.60987,1.02251,1.34408,3.00475e-06,3.00475e-06,3.00475e-06
7,19.9276,0.94039,1.58596,1.31026,0.63842,0.85,0.85123,0.65061,1.6029,1.03128,1.34303,2.89884e-06,2.89884e-06,2.89884e-06
8,22.821,1.05128,1.87353,1.43758,0.65056,0.85,0.85322,0.65078,1.59799,1.03063,1.33894,2.55731e-06,2.55731e-06,2.55731e-06
9,26.2979,1.07056,1.6412,1.4154,0.65203,0.85,0.85443,0.64268,1.58347,1.0265,1.33103,1.98016e-06,1.98016e-06,1.98016e-06
10,29.0528,0.93612,1.48395,1.23787,0.65733,0.85,0.86172,0.64586,1.5573,1.01787,1.31833,1.16739e-06,1.16739e-06,1.16739e-06
